"","distid","intid","lunch","enrol","ptr","found","expp","revpp","avgsal","drop","choice","psa","year","staff","avgben","cpi","rexpp"
"1",1010,4,36.2999992370605,1089,NA,NA,4227,NA,31854,7,NA,NA,1992,101.199996948242,6098,1.40299999713898,4835.591796875
"2",1010,4,39.2000007629395,1100,NA,NA,4809,NA,34361,10.1000003814697,NA,NA,1993,99.6999969482422,8532,1.44500005245209,5341.484375
"3",1010,4,38.5999984741211,1011,NA,NA,5214,NA,32351,12.3000001907349,NA,NA,1994,110.800003051758,9983,1.48199999332428,5646.74072265625
"4",1010,4,37.4099998474121,995,20.3999996185303,5245,6019,7186,44852,1.73000001907349,NA,0,1995,NA,NA,1.52400004863739,6338.9072265625
"5",1010,4,40.7900009155273,1008,19.1000003814697,5398,6155,7374,46603,7.36999988555908,NA,0,1996,NA,NA,1.56900000572205,6296.2236328125
"6",1010,4,43.8400001525879,1066,20.7000007629395,5553,6134,6859,48170,5.80000019073486,0,NA,1997,NA,NA,1.60500001907349,6134
"7",1010,4,42.6100006103516,1058,21.2000007629395,5707,6476,7094,52033,10.5,0,NA,1998,NA,NA,1.62999999523163,6376.6748046875
"8",2010,52,36.4000015258789,129,NA,NA,3445,NA,23353,NA,NA,NA,1992,86,6042,1.40299999713898,3941.00146484375
"9",2010,52,38.5999984741211,126,NA,NA,3446,NA,27303,NA,NA,NA,1993,80.5,7136,1.44500005245209,3827.56396484375
"10",2010,52,52.5999984741211,126,NA,NA,3583,NA,19598,0,NA,NA,1994,112.699996948242,6276,1.48199999332428,3880.37451171875
"11",2010,52,51.5200004577637,59,12.1999998092651,5581,8525,10693,29984,0,NA,0,1995,NA,NA,1.52400004863739,8978.1005859375
"12",2010,52,47.2999992370605,60,12.3000001907349,5734,8632,10664,31192,0,NA,0,1996,NA,NA,1.56900000572205,8830.0576171875
"13",2010,52,52.2400016784668,56,11.3999996185303,5889,8854,7542,38029,NA,0,NA,1997,NA,NA,1.60500001907349,8854
"14",2010,52,56.5999984741211,48,11.1999998092651,6043,9424,10588,28400,NA,0,NA,1998,NA,NA,1.62999999523163,9279.4599609375
"15",2020,52,59.2999992370605,90,NA,NA,6379,NA,24389,0,NA,NA,1992,167.800003051758,7019,1.40299999713898,7297.4306640625
"16",2020,52,59.2000007629395,76,NA,NA,7600,NA,22450,0,NA,NA,1993,223.699996948242,6794,1.44500005245209,8441.5224609375
"17",2020,52,50,78,NA,NA,7412,NA,14548,0,NA,NA,1994,333.299987792969,5059,1.48199999332428,8027.166015625
"18",2020,52,51.2200012207031,82,9.89999961853027,8588,8041,9286,25158,8.69999980926514,NA,0,1995,NA,NA,1.52400004863739,8468.3759765625
"19",2020,52,62.5,81,9.5,8741,9102,10033,27747,0,NA,0,1996,NA,NA,1.56900000572205,9310.8408203125
"20",2020,52,48.810001373291,84,10,8896,9942,10026,31356,6.59999990463257,0,NA,1997,NA,NA,1.60500001907349,9942
"21",2020,52,56.4099998474121,76,10.3999996185303,9050,10539,10934,29059,6,0,NA,1998,NA,NA,1.62999999523163,10377.359375
"22",2070,52,23.6000003814697,1051,NA,NA,3631,NA,28252,6,NA,NA,1992,92.0999984741211,6048,1.40299999713898,4153.78125
"23",2070,52,24,1112,NA,NA,3561,NA,29101,-13.5,NA,NA,1993,88.9000015258789,6556,1.44500005245209,3955.29736328125
"24",2070,52,25.2999992370605,1106,NA,NA,3776,NA,25093,4.40000009536743,NA,NA,1994,103.699996948242,7544,1.48199999332428,4089.39282226562
"25",2070,52,28.8500003814697,1133,21.8999996185303,4200,4312,5194,33146,0,NA,0,1995,NA,NA,1.52400004863739,4541.18115234375
"26",2070,52,24.9300003051758,1136,20.8999996185303,4506,4659,5533,33439,2.9300000667572,NA,0,1996,NA,NA,1.56900000572205,4765.8984375
"27",2070,52,26.7099990844727,1140,20.7999992370605,4816,4863,5825,34935,1.89999997615814,4,NA,1997,NA,NA,1.60500001907349,4863
"28",2070,52,28.1299991607666,1102,19.2999992370605,5170,5112,6185,34802,1.79999995231628,6,NA,1998,NA,NA,1.62999999523163,5033.59521484375
"29",2080,52,34.2000007629395,489,NA,NA,3992,NA,23236,3,NA,NA,1992,114.300003051758,5940,1.40299999713898,4566.7568359375
"30",2080,52,40.7999992370605,481,NA,NA,4520,NA,25817,3.59999990463257,NA,NA,1993,121.300003051758,6724,1.44500005245209,5020.484375
"31",2080,52,40.7000007629395,469,NA,NA,5267,NA,25518,2.40000009536743,NA,NA,1994,130.399993896484,9919,1.48199999332428,5704.1396484375
"32",2080,52,40.1699981689453,457,17.3999996185303,4824,6148,6821,29545,0.610000014305115,NA,0,1995,NA,NA,1.52400004863739,6474.763671875
"33",2080,52,36.6300010681152,447,19,5063,6224,6908,32930,0,NA,0,1996,NA,NA,1.56900000572205,6366.806640625
"34",2080,52,39.9500007629395,432,18.2000007629395,5300,6806,7196,34552,0,11,NA,1997,NA,NA,1.60500001907349,6806
"35",2080,52,38.939998626709,434,17.7000007629395,5462,6344,6854,34765,0.600000023841858,15,NA,1998,NA,NA,1.62999999523163,6246.69921875
"36",3000,3,18.7000007629395,1830,NA,NA,3469,NA,25940,5.5,NA,NA,1992,99.5,3702,1.40299999713898,3968.45678710938
"37",3000,3,19.7000007629395,1842,NA,NA,3706,NA,26496,4,NA,NA,1993,104,4651,1.44500005245209,4116.35302734375
"38",3000,3,19.5,1872,NA,NA,4081,NA,50709,4.69999980926514,NA,NA,1994,77,12631,1.48199999332428,4419.70654296875
"39",3000,3,21.4099998474121,1822,22,4500,4960,5360,38881,5.82000017166138,NA,0,1995,NA,NA,1.52400004863739,5223.6220703125
"40",3000,3,21.1000003814697,1845,22,4776,5162,5655,39429,5.46999979019165,NA,0,1996,NA,NA,1.56900000572205,5280.43994140625
"41",3000,3,20.9200000762939,425,22.5,0,3768,0,42015,NA,0,0,1997,NA,NA,1.60500001907349,3768
