"","distid","intid","year","drop","grad","math4","math7"
"1",1010,4,1992,7,75.1999969482422,28.7999992370605,43.4000015258789
"2",1010,4,1993,10.1000003814697,64.6999969482422,32.2999992370605,49.2999992370605
"3",1010,4,1994,12.3000001907349,58.5999984741211,39.0999984741211,36.5
"4",1010,4,1995,1.73000001907349,94.8000030517578,68,54.7000007629395
"5",1010,4,1996,7.36999988555908,77.4000015258789,68.4000015258789,55.4000015258789
"6",1010,4,1997,5.80000019073486,77.5,49,48
"7",1010,4,1998,10.5,65.1999969482422,75,65
"8",2010,52,1992,NA,NA,30,NA
"9",2010,52,1993,NA,NA,28.6000003814697,NA
"10",2010,52,1994,0,NA,37.5,0
"11",2010,52,1995,0,NA,40,0
"12",2010,52,1996,0,NA,83.3000030517578,0
"13",2010,52,1997,NA,NA,90,NA
"14",2010,52,1998,NA,NA,67,NA
"15",2020,52,1992,0,100,20,50
"16",2020,52,1993,0,100,37.5,16.7000007629395
"17",2020,52,1994,0,100,100,71.4000015258789
"18",2020,52,1995,8.69999980926514,65.5999984741211,57.0999984741211,16.7000007629395
"19",2020,52,1996,0,100,50,33.2999992370605
"20",2020,52,1997,6.59999990463257,81.8000030517578,40,0
"21",2020,52,1998,6,80,50,83
"22",2070,52,1992,6,78.6999969482422,45.2000007629395,47.7000007629395
"23",2070,52,1993,-13.5,166.800003051758,32.9000015258789,41
"24",2070,52,1994,4.40000009536743,84,54.2000007629395,54.5
"25",2070,52,1995,0,100,63.2000007629395,63
"26",2070,52,1996,2.9300000667572,88.3000030517578,73.9000015258789,79.5999984741211
"27",2070,52,1997,1.89999997615814,93,63,80
"28",2070,52,1998,1.79999995231628,92.5,84,72
"29",2080,52,1992,3,89.5,23.1000003814697,19.3999996185303
"30",2080,52,1993,3.59999990463257,85.5,48.5999984741211,21.1000003814697
"31",2080,52,1994,2.40000009536743,91.0999984741211,31,32.4000015258789
"32",2080,52,1995,0.610000014305115,97.5999984741211,50,47.7000007629395
"33",2080,52,1996,0,NA,57.0999984741211,69.6999969482422
"34",2080,52,1997,0,100,50,47
"35",2080,52,1998,0.600000023841858,97.1999969482422,87,60
"36",3000,3,1992,5.5,79.5,44.5999984741211,25.7999992370605
"37",3000,3,1993,4,85.5999984741211,37.5,31.2999992370605
"38",3000,3,1994,4.69999980926514,82.6999969482422,55.7000007629395,41.5999984741211
"39",3000,3,1995,5.82000017166138,79.0999984741211,58.7999992370605,45.7000007629395
"40",3000,3,1996,5.46999979019165,78.8000030517578,65,54.5
"41",3000,3,1997,NA,NA,62,54
"42",3000,3,1998,4.40000009536743,83.4000015258789,75,60
"43",3010,3,1992,5.5,79.4000015258789,36.5999984741211,30.7999992370605
"44",3010,3,1993,0.600000023841858,97.3000030517578,41.2999992370605,40.4000015258789
"45",3010,3,1994,3.09999990463257,89,60.5,51.5999984741211
"46",3010,3,1995,4.30000019073486,82.5,61.9000015258789,56
"47",3010,3,1996,5.19999980926514,79.8000030517578,70.4000015258789,61.5
"48",3010,3,1997,2.59999990463257,89.0999984741211,61,54
"49",3010,3,1998,1.70000004768372,92.8000030517578,72,67
"50",3020,3,1992,2.79999995231628,89.1999969482422,46.7000007629395,42.7000007629395
"51",3020,3,1993,0,100.900001525879,44.5,41.7999992370605
"52",3020,3,1994,8.30000019073486,71.9000015258789,59.5999984741211,53.2000007629395
"53",3020,3,1995,9.57999992370605,68.4000015258789,64.5999984741211,55.9000015258789
"54",3020,3,1996,1.96000003814697,91.1999969482422,72.5,60
"55",3020,3,1997,3.90000009536743,85.6999969482422,75,70
"56",3020,3,1998,3.20000004768372,88.3000030517578,84,65
"57",3030,3,1992,9.39999961853027,65.5,39.2000007629395,25.8999996185303
"58",3030,3,1993,7.40000009536743,73.5999984741211,35.5,20.5
"59",3030,3,1994,3.29999995231628,87.5999984741211,59.7000007629395,34.2999992370605
"60",3030,3,1995,6.01000022888184,78.5,58.7000007629395,38.7999992370605
"61",3030,3,1996,11.6899995803833,62.0999984741211,58.2999992370605,57.0999984741211
"62",3030,3,1997,6.69999980926514,74.5999984741211,57,52
"63",3030,3,1998,2.90000009536743,89.3000030517578,70,61
"64",3040,3,1992,1.60000002384186,93.6999969482422,42.0999984741211,26
"65",3040,3,1993,1.60000002384186,93.6999969482422,45.9000015258789,31.1000003814697
"66",3040,3,1994,2.5,89.3000030517578,56.7000007629395,43.2000007629395
"67",3040,3,1995,7.15999984741211,73.0999984741211,62.0999984741211,45.9000015258789
"68",3040,3,1996,1.13999998569489,92.3000030517578,78,53.7000007629395
"69",3040,3,1997,6.09999990463257,78.6999969482422,72,55
"70",3040,3,1998,4.90000009536743,81.9000015258789,80,58
"71",3050,3,1992,7.19999980926514,80.8000030517578,21.7999992370605,18.8999996185303
"72",3050,3,1993,6.69999980926514,76.0999984741211,34.7999992370605,43
"73",3050,3,1994,6.30000019073486,77.5,38.2999992370605,34.7000007629395
"74",3050,3,1995,9.64000034332275,71.4000015258789,45.7000007629395,41.5999984741211
"75",3050,3,1996,0,NA,42.5999984741211,61.7000007629395
"76",3050,3,1997,7.69999980926514,72.9000015258789,43,57
"77",3050,3,1998,12.5,59.0999984741211,67,52
"78",3060,3,1992,6.90000009536743,75.3000030517578,36.4000015258789,19.3999996185303
"79",3060,3,1993,13,58.5,41.2999992370605,14.8000001907349
"80",3060,3,1994,4.90000009536743,82,48.4000015258789,40.2999992370605
"81",3060,3,1995,-0.949999988079071,108.099998474121,49.4000015258789,36.5999984741211
